rok,kvartal,hdp,priemerna_mzda,minimalna_mzda,miera_nezamestanosti,min_mzda/priem_mzda,rocny_rast_hdp,HDP_lag1,HDP_lag2,u1,u2,u3,hdp_o
2005,1Q,11395.2,531.8,201.82,17.5,0.3795035727717187,7.880486234710508,13.932543063929833,10.15909982058198,1,0,0,"13484,30"
2005,2Q,12386.7,555.6,201.82,16.2,0.3632469402447804,11.10244059952104,9.23975347593059,10.374624186187347,0,1,0,"14972,40"
2005,3Q,13060.6,558.2,201.82,15.6,0.3615549982085274,9.42833443650349,12.1201303886295,9.65851146021118,0,0,1,"15844,50"
2005,4Q,13433.5,646.2,215.76,15.3,0.3338904363974001,8.774160114656802,11.37374083526472,11.983316670201273,0,0,0,"15338,90"
2006,1Q,12463.4,574.8,215.76,14.9,0.3753653444676409,9.374122437517542,7.880486234710508,13.932543063929833,1,0,0,"14559,00"
2006,2Q,13918.0,608.2,215.76,13.5,0.3547517264057875,12.362453276498172,11.10244059952104,9.23975347593059,0,1,0,"16304,50"
2006,3Q,14675.7,604.5,215.75,12.8,0.3569065343258891,12.366200633967814,9.42833443650349,12.1201303886295,0,0,1,"17187,70"
2006,4Q,15291.9,701.4,229.04,12.0,0.3265469061876248,13.834071537573973,8.774160114656802,11.37374083526472,0,0,0,"16912,30"
2007,1Q,14296.4,617.1,229.04,11.5,0.3711554043104845,14.707062278351014,9.374122437517542,7.880486234710508,1,0,0,"15926,00"
2007,2Q,15495.0,650.5,229.04,11.1,0.352098385857033,11.330650955597068,12.362453276498172,11.10244059952104,0,1,0,"17763,30"
2007,3Q,16529.2,647.7,229.04,11.2,0.3536205033194379,12.629721239872715,12.366200633967814,9.42833443650349,0,0,1,"19086,90"
2007,4Q,16860.2,761.0,252.27,10.3,0.3314980289093298,10.255756315434976,13.834071537573973,8.774160114656802,0,0,0,"19215,50"
2008,1Q,16224.6,678.6,252.27,10.5,0.3717506631299734,13.487311491004734,14.707062278351014,9.374122437517542,1,0,0,"17360,70"
2008,2Q,17208.1,712.3,252.27,10.1,0.3541625719500211,11.055824459503055,11.330650955597068,12.362453276498172,0,1,0,"18883,80"
2008,3Q,17879.0,704.6,252.27,9.0,0.3580329264831109,8.16615444183626,12.629721239872715,12.366200633967814,0,0,1,"20213,40"
2008,4Q,17245.0,796.4,268.87,8.7,0.3376067302862883,2.2822979561333745,10.255756315434976,13.834071537573973,0,0,0,"19394,90"
2009,1Q,14989.2,710.5,268.87,10.5,0.378423645320197,-7.61436337413557,13.487311491004734,14.707062278351014,1,0,0,"16348,60"
2009,2Q,15857.4,732.5,268.87,11.3,0.3670580204778157,-7.849210546196263,11.055824459503055,11.330650955597068,0,1,0,"17736,30"
2009,3Q,16739.9,722.5,268.87,12.5,0.3721384083044983,-6.37116169808154,8.16615444183626,12.629721239872715,0,0,1,"19005,00"
2009,4Q,16468.7,813.2,268.87,13.9,0.3306320708312838,-4.5015946651203205,2.2822979561333745,10.255756315434976,0,0,0,"18587,00"
2010,1Q,15852.7,725.0,295.5,15.1,0.4075862068965517,5.760814453072879,-7.61436337413557,13.487311491004734,1,0,0,"17588,30"
2010,2Q,17028.3,758.0,295.5,14.4,0.3898416886543535,7.38393431457868,-7.849210546196263,11.055824459503055,0,1,0,"18975,20"
2010,3Q,18196.9,750.0,295.5,14.1,0.394,8.703755697465336,-6.37116169808154,8.16615444183626,0,0,1,"20245,50"
2010,4Q,17648.8,844.0,295.5,13.9,0.3501184834123222,7.165714355109988,-4.5015946651203205,2.2822979561333745,0,0,0,"19735,00"
2011,1Q,16413.5,746.0,307.7,13.9,0.4124664879356568,3.5375677329413877,5.760814453072879,-7.61436337413557,1,0,0,"18020,70"
2011,2Q,17864.3,781.0,307.7,13.2,0.3939820742637644,4.909474228196591,7.38393431457868,-7.849210546196263,0,1,0,"19517,30"
2011,3Q,18860.9,769.0,307.7,13.2,0.4001300390117035,3.648973176749885,8.703755697465336,-6.37116169808154,0,0,1,"20657,50"
2011,4Q,18490.9,848.0,307.7,14.0,0.3628537735849056,4.771429218983739,7.165714355109988,-4.5015946651203205,0,0,0,"20310,10"
2012,1Q,17051.6,770.0,317.0,14.1,0.4116883116883117,3.8876534559965794,3.5375677329413877,5.760814453072879,1,0,0,"18461,10"
2012,2Q,18406.7,793.0,317.0,13.6,0.3997477931904161,3.036223081788827,4.909474228196591,7.38393431457868,0,1,0,"19906,50"
2012,3Q,19475.3,784.0,317.0,13.7,0.4043367346938775,3.257532779453779,3.648973176749885,8.703755697465336,0,0,1,"21005,20"
2012,4Q,18793.9,875.0,317.0,14.4,0.3622857142857142,1.6386438734728972,4.771429218983739,7.165714355109988,0,0,0,"20364,60"
2013,1Q,17273.6,789.0,327.2,14.5,0.414702154626109,1.3019306106171855,3.8876534559965794,3.5375677329413877,1,0,0,"18513,60"
2013,2Q,18655.6,818.0,327.2,14.0,0.3999999999999999,1.3522250050253322,3.036223081788827,4.909474228196591,0,1,0,"19999,20"
2013,3Q,19682.5,803.0,327.2,14.1,0.4074719800747198,1.063911724081276,3.257532779453779,3.648973176749885,0,0,1,"21158,90"
2013,4Q,19031.0,887.0,327.2,14.2,0.3688838782412627,1.261579555068392,1.6386438734728972,4.771429218983739,0,0,0,"20626,50"
2014,1Q,17632.5,821.0,337.7,14.1,0.4113276492082826,2.0777371248610685,1.3019306106171855,3.8876534559965794,1,0,0,"18996,00"
2014,2Q,19084.8,857.0,337.7,13.2,0.394049008168028,2.3006496708763096,1.3522250050253322,3.036223081788827,0,1,0,"20529,00"
2014,3Q,20222.9,837.0,337.7,12.9,0.4034647550776583,2.745586180617307,1.063911724081276,3.257532779453779,0,0,1,"21720,10"
2014,4Q,19622.1,918.0,337.7,12.6,0.3678649237472767,3.1059849718879646,1.261579555068392,1.6386438734728972,0,0,0,"21227,60"
2015,1Q,18371.5,839.0,352.0,12.4,0.4195470798569726,4.191124344250674,2.0777371248610685,1.3019306106171855,1,0,0,"19865,40"
